clean_for_labeling,sentiment
moonton tidak karuan sekali nya menang cuman bintang dan kalah bintang terus hero nya kalau sudah dapat combo tapi tidak ada di refresh toko nya game haram moonton tidak ada feedback balikk,negative
game yang membuat jengkel tidak nyaman untuk di mainkan permainan tidak seimbang banyak dark sistem,negative
season paling enggak seru anjir,negative
mantap hiburan dikala sedang kerja,positive
magic kristal nya tidak sesuai terus setelah memilih hero di awal,neutral
aplikasi bagus buat yang lagi bosan,negative
kasih saya main beruntung,negative
game bagusbikinin mode offline nya dong biar banyak peminat nya,negative
goo,neutral
session ini tidak masuk akal di rank,negative
masih saja tidak bisa pilih sendiri download datanya tidak bisa dihapus juga download data yang tidak diinginkanjelek bangetbgame inihapus saja cari game lain,negative
tidak ngandelin otak ngandalinnya beruntung game judi haram,negative
tambahkan stok hero gold kena scam mulu dahudah slot atas tapi roll anya seret sekali,negative
dalam hati yang dalam tolong buat developer mcgg atau vista games jangan suka ngeprank player lah cowok saya sudah kali di mode gold rush ini diprank eru mulu jadi tolong buat developer mcgg jangan suka ngeprank lah tidak lucu kocak,negative
game apa ini keseimbangan sama sekali tidak ada hanya permainan sistem saja tiap laporan ke cs tidak pernah ditanggapi buruk sekali kejanggalan banyak hanya ingin meraup untung yang beli pakai uang baru di utamakan,negative
mnatap,neutral
game nya sudah asik dan santai bisa di mainkan saat istirahat kerja yang membuat kurang menarik cuma event nya ampas,negative
awas guis game ini bisa gila,negative
game tidak guna sinergi enggak pernah keluar,neutral
ini game bagus tetapi kenapa banyak sekali bugg nya seperti login tapi tidak login ke permainan saya login kembali login lagi hingga terus menerus kenapa saya kasih bintang karena saya ingin ulasan saya berada di atas,negative
apalah tiap kurang mesti kalahkasih franko moonton,negative
terus kembangkan mcgg sukses,positive
i really like felly,neutral
game nya seru tapi tolong tambahkan fitur mode offlinekarena mobile legends ada mode offline makanya mcgg ada fitur offline biar seru,negative
good luck,positive
monton pelit gagal mulu perfect sinergy,negative
setelah update loading lama ekstra data tidak beres beres di device redmi note pro,negative
mulai aga lag,positive
saya main mc dari season saat aplikasi terpisah saya download aplikasi mcgg ternyata mulai awal lagi sia main dari season sudah banyak terkumpul skin dan comander auto unistall,negative
hey moonton give me back my season account i only took a onemonth break and now my account turned into a bot accountthis is so frustrating itu shouldve stayed the same as before but when i logged ini again itu was gone and replaced with an empty account,negative
kebanyakan yang kreatifitas,neutral
makin seru walau ada sdikit cepat di waktu,negative
game rusak sudah update tetap saja lag mulu koneksi lancar padahal,negative
min saran untuk diadakanya leaderboard magical run karena kan itu ada ranknya ya sayang sekali kalau enggak ada leaderboard sudah ada leaderboard untuk tag tim dan rank harap saya ada penambahan leaderboard untuk magical run,negative
persentase mendapatkan heronya tidak akurat,negative
ini yang membuat ulasan memang sudah rank apa meminta ini meminta itu main juga meta hama lu wkwk untuk montoon great man game lu sudah bagus dan itu saja,negative
coba kasih nerf itu comander karina sumpah comander paling haram,negative
ini game apa judol sih membuat stres,neutral
kukira game chees itu game game strategi tapi yang ini malah lebih ke beruntung hokian baca situasi doang selebihnya saya cuma suka efek satiffying nya saja saat jadikan hero ke bintang,negative
makin tidak jelasbanyak cheater,neutral
game cacatbukannya malah bagus malah kebnyakn bug,neutral
tolong hilangkan fitur mengasih lihat jumlah hero ke musuh yang bisa di arahkan jadi musuh bisa kasih tahu ke musuh lain jumlah hero kita jadi tidak seru main lylia kalau di gitukan min benci sekali,negative
game tidak jelas kalah menang semua sudah di atur sama montoon,negative
eru tolong di nerf ya jangan dikasih enak terus hero nya sih yang harus dinerf jangan nerf sinerginya gaguna,negative
heronya unik unik dan saya selalu menang disetiap pertandingan saya sudah epik mau lanjut ke legend terimakasih,negative
mengasah otak buat strategi,neutral
tolong fitur melihat lane musuh di hilangkan percuma atur strategi kalau di intip orang padahal game strategi,negative
tolong moonton balikin magic cess di ml kalau jadi game menambah menambah mbak,neutral
keren bagus,neutral
yang jadi masalahnya adalah yang diban tidak sesui dengan yang di vote,negative
membuat puyeng kepala rambut saya sampai rontok,negative
permainan yang sangat mantap sekali banyak pilihan permainan nya asik sekali untuk di main kan,negative
game catur ter bagus menurut ku,positive
gamenya delay parah masa sudah naruh hero di chessboard saat sudah fight malah gajadi ditaruh,negative
game santai yang paling enak,neutral
eru roll banyak kali tidak muncul jhonny eru,negative
tolong lah masak lagu nya saat kelong sama di area pertempuran tidak bisa di matin membuat ceper nguras batray saja dan membuat para player pada risih dan ter ganggu saja tolong lah depevelover kamini ku kasih bintang kalau masih ada kendala di gamenya bakalan ku kurangi bintang dan mungkin saja bakal langsung ku hapus,negative
update tidak jelas menggunakan comender aurora sudah sulit makin dinerf lol,negative
asik wak,positive
game bagus pokoknya game paling juara yang ada di dunia monton baik soalnya,negative
bagus sih game nya grafiknya cukup bagus cuma skin commandernya saja agak jelek tolong diperbaiki lagi moontoon,negative
kenapa setelah update tidak bisa login woy,negative
game kentang bodoh kali buat game,positive
susah dapat hero yang sinerginya sama malah banyak dkasi hero lain anjing,negative
dark sistemnya lebih tidak ngotak sihhgold roll atas tidak dapat franco padahal lagi naik bintang tigaaa,negative
woiii moonton mengadakan lagi gogocard lone wolf,negative
toxic game uninstall,positive
padahal ram nya masih banya yang kosong eh malah kalau main yang lelet lah yang lag lah ngeframe lah tolong di perbaiki lagi game nya ini rating nya pun jelek kali bintang game apa ini,negative
okkk,neutral
game yang sangat membosankantidak jelas,negative
bagus dimainkan enak,negative
game bapuk rol gold tidak dapat bijipin harga sesuaipdhal di,neutral
best strategy game,positive
masih nge lag nge lag,neutral
awalnya bagus tapi makin kesini makin pusing hero tidak dapat main eru kurang hero tidak muncul kasih hero itu sesuai sienergi dong masa main eru keluarnya dautles,negative
game otak,neutral
tidak ada suaranya cok main macam orang bubu,negative
parahhhh sekali sumpah game ini seperti sampah tidak mobile legend tidak magic chest sama saja membuat orang emosimarah masak di magic chest saya tidak menemukan hero yang sama untuk menaikkan bintang dan item nya cuman sedikit sedangkan lawannya full bintang dan bintang dengan cepat itupun lawan nya sudah mendapatkan item tolong diperbaiki lagi pihak moonton yang terhormat terpaksa game ini saya uninstall terimakasih,negative
seru sekali mengasah kecerdasan otak,negative
balikin magic chess seperti dulu lagi tidak usah pakai aplikasi tepisah sama mobile legend,negative
game tidak adil musuh sudah pada bintang saya masih bintang nya cuma aneh sekali tidak dapat sinergi yang pasudah begitu heronya acak lagi beda beda sinergianeh sekali bagaimana mau level up kalau begitu walaupun sudah ganti sinergi berkali kali tetap tidak ada yang saat soalnya setiap muncul tidak ada yang sama meskipun sudah ganti sinergi dan herotaik lah,negative
awalnya sih bagus dan enak dimainin tapi setelah memasuki season baru commander bintang saya hilang sudah itu banyak hero dan sinergi baru malah membuat pusinguninstall saja lah,negative
semua sinergy bisa cocok jika di imbangi dengan comander yang sesuai juga sampai begini sudah bagus sih cuman kalau bisa hero gatot kaca bruiser jangan di hapus dongyu zhong kurang rekomend buat akhir push rank vs,negative
untuk magic chess go go ini tolong anu ya sudah,negative
woi ajg kalau update yang benar dikit jangan lu gedein roll bawah setiap update nguntungin roll bawah mulu lama sepi ini game sekarang user roll atas juga sudah pada malas main,negative
game buriiiiik,positive
tidak pernah menang,negative
banyak ini event gratis moonton,neutral
game yang bagus untuk mengisi waktu luang,negative
saran dari saya mah cuma yaitu bisa lihat profil orang lainoke terima kasih semoga bisa di perbaiki soalnya kan kalau ada pp cewek cantik gbsa melihat jelas,negative
gampang dan enak,negative
sangat seru banyak mode dan hero baru dari yang lamagameplay yang lumayan cuman developer plis tambahkan mode offline,negative
game babi masak saya pakai moskov bintang natan bintang nolan bintang sama eru masih kalah lawan ember rol bawah,negative
game yang sangat sesuai dengan orang yang suka mengatur strategi dalam permainan,negative
bagus sekali buat yang suka strategi,negative
ini kenapa stuk mulu di loading screen deh tolong lah,negative
game tidak mutu juara sudah di setting moonton,negative
pertahankan kualitas visual dan size yang ideal agar lebih menjangkau bagi user dan daya minatnya,positive
game bergantung keberuntungan pada saat lagi mengatur combo sinergi mana yang cocok malah ada sepuluh sinergi sinergi itu baik tapi pada player lain pada beruntung dan mengulangi game agar dapat sinergi tapi di ggc malah dapat lain dan di pat box malah di ambil player lain waktu yang diperlukan untuk mengatur strategi sebelum tusun duluan malah singkat sekali membuat player banyak yang kesal karena itu mohon monton waktu yang diperlukan di perpanjang karena itu membuat player jenuh,negative
semoga dapat hadiah ponsel,negative
tolong untuk fitur intip melihat line up lawan dihilangkan saja karena membuat ketidaknyamanan dalam bermain atau diberikan batas maksimal saja misal boleh kali mengintip terimakasih,neutral
kurang nyaman,neutral
a game that requires smart thinking but please balance your opponents game with fair cards,positive
terlalu banyak bug sudah gamer lain pada curang ditambah permainan sistem yang sangat nyata terlihat berat sebelah,negative
bukannya balance roll bawah malah tambah tidak ngotak,negative
game tidak jelas ketika hero di butuhkan malah tidak di kasih,negative
wenak wenak poll,neutral
game dongo sampai mitik turun sampai lejen roll shop nya seperti tahi,negative
akun saya di membuat busuk terus bayangi lostreak bulan lebihrata rata juara tidak pernah juara meskipun di kasih lawan bot tapi di kasih musuhnya yang terlalu beruntung selalu kalah dapat posisi ke lanjut main lagi langsung juara lagi main terus ketemu bot kalah posisi atau ke empat seterusnya begitu sistemnya sangat tidak waras padahal saya jarang main tapi selalu kalah mulu tidak pernah menang tidak pernah beruntung sekalinya beruntung musuhnya ternyata lebih beruntung memangnya ada yang salah ya sama akunku,negative
game apalah tlol sekali ping bagus tapi di game enggak bisa dipencettolong perbaikilah,negative
ini rating tidak akan saya naikin ke kalau kau moontoon enggak mengasih roll sesuai dengan lineup saya sampai saya naik ke glory,negative
gausa kasih bintang satu lah kocak cupu mah mending gausa download,negative
permainan yang sangat seru saran kalau bisa membanyaki event event yang ada misi dapat seuatu yang gratis,negative
losht,neutral
woi kasih logika dukut tim developer,negative
seperti di setting yang akan wing susah dapat hero yang di butuhkan sinergi yang di mainkan tidak ada di pembelian hero susah dapatnya apa lagi menggunakan jhony sudah nyata menggunakan sinergi yang di mainkan malah sih jhony yang muncul sinergi lain nanti muncul kalau ponsel commender sisa sedikit orang lain bintang kita masih bintang mengakak deh,negative
apa gunanya vote untuk banned kalau sistem yang banned sendiri vote tanpa berdasarkan vote terbanyak yang mau kita banned kan lucu,negative
update kali ini patch terlalu susah untuk roll atas jadi kurang seru sekarang ku kasih bintang mengecewakan,negative
game eek,neutral
game apa ini tidak di kasih hero ya mulu pilih kasih moonton,negative
tolong beri opsi bisa tidak download semua datahp ketang relog mulu,negative
bad game mythic until dumb card damage commander too hurt damage ini earlymid game,positive
saya pakai commander thars tapi di kasih heronya ngacak padahal ada hero harga gold tolonglah di perbaiki saya sangat kecewa,negative
sistemnya seperti binatang,negative
bro mendengarkan saya moonton update nya makin sini makin gj perbaiki update gagalnya hero harga malah di kurangi jadi tadinya itu makin susah bagi kaum roll atas temen² saya pada di hapus mc gogo nya,negative
game hanjing,positive
yang belum kasih rating silahkan berikan bintang,negative
malas lah masa abdet mulu,negative
