clean_for_labeling,lexicon,mdhugol,crypter,ardiiiiy,agufsamudra,w11wo,ayameRushia,hanifnoerr
sangat seruuuu dannn menyenangkannn,negative,negative,positive,positive,neutral,positive,positive,positive
mantap game santai,positive,negative,positive,neutral,neutral,positive,positive,positive
kenapa hero nya enggak lengkap iya seperti palir dan lain lain tidak ada saran saja sih hero nya di lengkapin yang ada di ml terimakasihh,negative,positive,negative,negative,negative,negative,negative,negative
makin aneh saja untuk sekarang tidak perlu combo yang penting hero legend bintang sudah auto win beda dari yang dulu sekarang mah tidak perlu combo,negative,positive,negative,negative,negative,negative,negative,negative
menurut saya sudah ok sih cuma perlu di perbaiki sistem sinergi nya yang awal nya menjadi sulit woy butuh beruntung sekali nya sampai itu beruntung nya di menggunakan kali sumur hidup mybe over all saya suka sekali mcgg,negative,negative,positive,positive,neutral,positive,positive,positive
game tidak imbang rollingan kacau banyak nerf tidak guna roll atas dibatasi enggak bisa menjamin,negative,positive,negative,negative,negative,negative,negative,negative
kalau bisa bettle poin di mlbb bisa di menggunakan di mcgg soalnya bettle poin di mlbb ku deh juta lebih dan sdah enggak ada gunanya,neutral,positive,negative,negative,negative,negative,negative,negative
coba ada top global commander hehe soalnya saya hanya pakai commander dari season,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
makin seru n hidup anime,negative,negative,positive,negative,neutral,positive,positive,positive
magic chess kereeeeennnnnn,neutral,negative,positive,positive,neutral,positive,neutral,positive
grafiknya mon perbaiki seperti kartun ajkarna lo baik sama saya karena wins trek nih saya kasih bintang mon saya tidak perna merasai honortolong honorin dong,negative,positive,negative,negative,negative,negative,negative,negative
mantap sih kurang drama atau memang saya sudah tuwa,negative,negative,positive,negative,negative,positive,negative,positive
menemani ketika bosan,neutral,negative,positive,neutral,neutral,negative,positive,negative
ppppppppppppppppp mungkin bisa di bantu untuk skin comander karina ya dan skin comander zilong karena saya tidak punya banyak diamon,negative,neutral,neutral,neutral,negative,neutral,neutral,neutral
game tolol main jahson dari awal sampai game selesai masa tidak dapat sinergi yang di butuhin sama sekali saja tidak tolol,negative,positive,negative,negative,negative,negative,negative,negative
keren sihadu strategi bukan ambisi,negative,negative,positive,positive,neutral,positive,positive,positive
kadang kesal mainnyamknya sudah pernah ku uninstal hero yang kita inginkan kadang tidak ada huhhh tak kasih bintang,negative,positive,negative,negative,negative,negative,negative,negative
server nge bug mindri tdi siang main ping merah terus sampai skrangpdhal sinyal wiffi bagus data seluler juga bagusbuat main mlbb lancar lancar saja,negative,negative,positive,positive,negative,positive,positive,positive
enggak bang kata ilham,negative,positive,neutral,neutral,negative,negative,negative,neutral
asik sih buat hiburan santai,positive,negative,positive,neutral,neutral,positive,positive,positive
jos permainan sungguh menghibur ketika waktu luang untuk merefresh pikiran penat,negative,negative,positive,positive,neutral,positive,positive,positive
senang ngilangin stres bisa mikir strategi,negative,negative,negative,positive,neutral,negative,negative,negative
jelekkkk,neutral,positive,negative,negative,negative,negative,negative,negative
permainan yang menyenangkan buat mengisi waktu luang,negative,negative,positive,neutral,neutral,positive,positive,positive
game tolol banyak bug nya stok hero gold dikurangin jadi makin ampas nih game memang game moonton kagak ada yang benar,negative,positive,negative,negative,negative,negative,negative,negative
jossss,neutral,negative,positive,positive,neutral,positive,neutral,positive
seru habis dulu sempat pensi sekarang coba adaptasi lagi,negative,negative,positive,neutral,negative,negative,positive,positive
bagus sekali pertahankan,negative,negative,positive,positive,neutral,positive,positive,positive
suka sekali apa lagi kalau memang terus di rank sayang nya kalah terus,negative,positive,positive,negative,negative,negative,positive,positive
mengapa magic cas saya tidak bisa terhubung dengan akun monton sudah hapus install kali mohon diperbaiki,negative,positive,neutral,negative,negative,neutral,neutral,neutral
this game is so good,positive,negative,positive,positive,neutral,positive,positive,positive
pengusir stres yang membuat stres hahaha,negative,positive,negative,negative,negative,negative,neutral,negative
perbaiki sinyal,neutral,positive,negative,neutral,negative,positive,neutral,negative
naikkan presentase hero ruby saya setiap kali main ruby mau naikkin ke bintang saja susahnya pakai sekali giliran pakai haya bintang gampang bangettapacoba padahal ruby hero enggak harusnya lebih sering muncul malah muncul cuma sekali sekali,negative,positive,negative,negative,negative,negative,negative,negative
era mcgg seru parah,negative,positive,negative,positive,negative,positive,negative,positive
mantap temenku tusun mulu,neutral,negative,positive,negative,neutral,positive,positive,positive
permainan yang sangat seruh tapi tolong tambah kan lagi hero nya masih kurang hero yaitu hero mage attau tenk,negative,negative,negative,neutral,neutral,negative,positive,positive
drak sistem ter gilakita main magic kartu buffnya pisical kita main pisical kartu buffnya magical sebenarnya game ini kita yang mainkan atau kita yang harus ikut sitem kalau ikut sistem apa guna otak kita kita yang di paksa ikut sistem game drak sistem,negative,positive,negative,negative,negative,negative,negative,negative
wah bagus sekali gamenya tapi kasihh hero baru dong _,negative,negative,positive,neutral,neutral,negative,negative,positive
game scamm jangan install ini game menyesal lu nanti,negative,positive,negative,negative,negative,negative,negative,negative
tolong balikan hero harga gold jadi stock stock saja masih susah buat bintang apalagi stock,negative,positive,negative,negative,negative,negative,negative,negative
mantap pokoke,positive,negative,positive,positive,neutral,positive,positive,positive
ok seeeeeeb,positive,negative,positive,neutral,neutral,negative,positive,positive
yhaa saya suka game ini karena saya sudah mythic,negative,negative,positive,neutral,neutral,positive,positive,positive
game anjing tidak pernah beruntung kont,neutral,positive,negative,negative,negative,negative,negative,negative
pengalaman bermain tidak sesuai dengan persentase kemunculan hero dengan sinergi yang dimainkan sangat merugikan player,positive,positive,negative,negative,negative,negative,negative,negative
game ini menggunakan bad marketingmemicu dopamine dengan berbagai cara biar kecanduankalau anda cerdas anda tidak akan memainkan game ini,neutral,positive,neutral,negative,neutral,negative,neutral,negative
games sangat bai,negative,negative,positive,positive,neutral,positive,positive,positive
game nya mudah dipahamihero alucard kapan min jadi comander di mcgg,negative,negative,neutral,positive,neutral,positive,positive,positive
heh monoton kalau membuat update yang masuk akal dikit lah masa hero epic di kurangi stok nya lu tahu tidak dengan update seperti begitu membuat banyak palyer roll bawah dan itu meresahkan bagi player roll atas tolong di koreksi lagi update nya bagaimana game nya mau rame kalau tidak ada kebijakan,negative,positive,negative,negative,negative,negative,negative,negative
game ini bukan soal strategi bukan tentang skilltapi menang kalah tergantung moonton,negative,positive,negative,neutral,neutral,neutral,neutral,neutral
yang main nya jago jangan main bang saya kalah mulu soal nya wkwk,negative,positive,negative,positive,negative,negative,negative,negative
gege,neutral,positive,negative,negative,negative,positive,positive,negative
game yang menghibur tidak membosankan,negative,negative,positive,positive,neutral,positive,positive,positive
game babi di ketika ben di mulai malah yang sedikit di pilih game tolol,negative,positive,negative,negative,negative,negative,negative,negative
game rusakk,positive,positive,negative,negative,negative,negative,negative,negative
nerf tars gila sekali sudah hero kalau menang dapat satu heronya di batasi saat doang pula,negative,positive,negative,negative,negative,negative,negative,negative
bagaimana sih ini game kenapa bintang nya tidak naik padahal menang ke,neutral,positive,negative,negative,negative,negative,negative,negative
game manok,positive,positive,positive,negative,negative,negative,negative,negative
game santuy mainnya kita tinggal cari hero tipe ya sesuai dengan lane,positive,neutral,neutral,neutral,negative,neutral,neutral,neutral
slebe gamee buriqqq,neutral,negative,positive,negative,negative,positive,neutral,neutral
saya sangat menyukai game inibisa membuat stres hilang,negative,negative,positive,positive,neutral,positive,positive,positive
suka lag koneksi tiba drop lebih baik magic chess yang lamagame ini terlalu ribet kurang menarik dari segi tampilan juga game play lebih seru yang dulu kita bisa buat kombo yang kita inginkan game ini terlalu random dan ribet skil komender yang dulu ada tiga sekarang di menghilangkan komender terlalu banyak jadi kelihatan sekali sisi bisnis my game ini komender cuma dikasih skil dan kita harus upgrade komender dengan beli komender yang sama dengan jumlah banyak baru di bisa di upgrade politik sekali,negative,positive,negative,negative,negative,negative,negative,negative
tolong nerf hero karinasaya kalah dengan karina bintang padahal nolan saya sudah bnerf saja durasi hilang saat skill,negative,positive,negative,negative,negative,negative,negative,negative
untuk segi gameplaynya sudha ok namun ketika rank mencapai mythic untuk segi ban commander masih kacau tidak sesuai dengan apa yang di vote oleh player,negative,positive,negative,neutral,negative,negative,negative,negative
tidak adil banyak kecurangan dan keanehan,negative,positive,negative,negative,negative,negative,negative,negative
nice my friends,positive,negative,positive,positive,neutral,positive,positive,positive
masih heran saya enggak dapat melulu cost yang len saya inginin saya pertama mencari alpha saya anggap ah lagi enggak beruntung saja nah selepas mencari franco atau sinerga yang sama seperti doonsworm malah alpha melulu muncul giliran cari moskov malah yuk zong franco alpha yang muncul melulu giliran cari yuk zhong moskov muncul ah enggak jelas hapus saja lah game satu ini mending tft,negative,positive,negative,negative,negative,negative,negative,negative
