content,clean_for_labeling
tolong dong Karina di nerf merusak meta hero karena terlalu rusuh terhadap hero,tolong dong karina di nerf merusak meta hero karena terlalu rusuh terhadap hero
sangat menghibur kami berterimakasih padamu,sangat menghibur kami berterimakasih padamu
Mau nya ada sesi di mana player bisa nge buff sendiri Hero yang mereka mau menjadi 5gold untuk hyper. Jadi setiap player bisa memiliki hyper berbeda. Tapi Hero legend di tiadakan kecuali Hero 4gold. Baru lah semua Hero bisa berguna di mainkan. Kalau cuma bergantung Hero paling mahal baru bisa hyper. Gemplay akan membosankan dan itu-itu aja yg di pertandingan dengan syarat tidak berlaku buat Hero yang sudah di miliki. jadi setelah di buff Hero tersebut akan muncul shop. di ronde 8/9,mau nya ada sesi di mana player bisa nge buff sendiri hero yang mereka mau menjadi gold untuk hyper jadi setiap player bisa memiliki hyper berbeda tapi hero legend di tiadakan kecuali hero gold baru lah semua hero bisa berguna di mainkan kalau cuma bergantung hero paling mahal baru bisa hyper gemplay akan membosankan dan ituitu saja yang di pertandingan dengan syarat tidak berlaku buat hero yang sudah di miliki jadi setelah di buff hero tersebut akan muncul shop di ronde
P info mabar🤪,p info mabar
game sip,game sip
keren lebih mending dari ML gak ada dark sistem cuma hoki hoki an aja sih...,keren lebih mending dari ml tidak ada dark sistem cuma beruntung beruntung an saja sih
"dri magic chess di mlbb, lebih suka main chess nya",dari magic chess di mlbb lebih suka main chess nya
"game rusak,jaringan wifi atau telkomsel pun ngak berguna,, main sampai legend,habis tu di kasi kalah terus,apa pun synergy yg di main kan bakal ngak jadi,game strategi sampah,ada nya main nasib,mending mlbb,lebih jelas",game rusakjaringan wifi atau telkomsel pun enggak berguna main sampai legendhabis itu di kasih kalah terusapa pun synergy yang di main kan bakal enggak jadigame strategi sampahada nya main nasibmending mlbblebih jelas
"saya suka grapik nya dan juga game nya,",saya suka grapik nya dan juga game nya
Plagiat TFT dengan penuh ketidak seimbangan dan unsur pay to win,plagiat tft dengan penuh ketidak seimbangan dan unsur pay tapi win
hero sulit di dapat sering membingungkan buat linup,hero sulit di dapat sering membingungkan buat linup
Ga jelas roll nya,tidak jelas roll nya
pengalaman yang sangat tidak masuk akal. matchmaking dalam pertandingan terlalu random dan sangat tidak seimbang,pengalaman yang sangat tidak masuk akal matchmaking dalam pertandingan terlalu random dan sangat tidak seimbang
sangat senang bermain di magic chess:GoGo,sangat senang bermain di magic chessgogo
so good,so good
"mcgg busuk,, makin hari makin busuk,, suka2 montoon maw menang siapa,, menang bkn karna jago, karna soopnya bagus,,",mcgg busuk makin hari makin busuk suka montoon mau menang siapa menang membuat karena jago karena soopnya bagus
keren sukak sekali,keren suka sekali
bagus dan asik,bagus dan asik
"game scam,game hoki hokian tidak fair",game scamgame beruntung hokian tidak fair
SISTEM LO BENERIN GAME TAIK,sistem lo benerin game tahi
"Dark systemnya bukan playernya cokk,tapi moonton itu sendiri",dark systemnya bukan playernya cokktapi moonton itu sendiri
"ga jelas udah update sekarang,algoritma nya buruk",tidak jelas sudah update sekarangalgoritma nya buruk
kalah terus cokkkk,kalah terus cokkkk
lag bgt buat bikin kombo gk bisa kebanyakan lag tba tiba menghubungkan kembali mulu,lag sekali buat membuat kombo tidak bisa kebanyakan lag tba tiba menghubungkan kembali mulu
game nya seru banget ayo main MC Gogo sekarang,game nya seru sekali ayo main mc gogo sekarang
"ngapain jir,enakan mc dri ml nya langsung,sekarang ga bisa main mc dri ml nya",mengapa jirenakan mc dari ml nya langsungsekarang tidak bisa main mc dari ml nya
game aneh,game aneh
"hero yang diperlukan sesuai sinergi susah dicari, sistemnya semakin buruk",hero yang diperlukan sesuai sinergi susah dicari sistemnya semakin buruk
game yang bagus dan seru dimainkan,game yang bagus dan seru dimainkan
"game gajelas, banyak ga seimbangnya, game undered",game enggak jelas banyak tidak seimbangnya game undered
"Moonton sehat ???? kenapa dengan akun saya ?! ada masalah kah ??? Mobile legend , Magic chess , kenapa selalu di buat leg parah.. padahal sinyal saya bagus dari awal main . seharusnya di bantu dong yang hadir komplain disini ,!! bukan malah seakan di sengaja.. makin di buat kecewa.. memang kami hanya pemain biasa.. sama sekali tidak merugikan bagi anda kehilangan satu atau dua orang yang kecewa..",moonton sehat kenapa dengan akun saya ada masalah kah mobile legend magic chess kenapa selalu di buat leg parah padahal sinyal saya bagus dari awal main seharusnya di bantu dong yang hadir komplain disini bukan malah seakan di sengaja makin di buat kecewa memang kami hanya pemain biasa sama sekali tidak merugikan bagi anda kehilangan satu atau dua orang yang kecewa
koneksi ga jelas mukul krip ga di kasih item warbiasah ....,koneksi tidak jelas mukul krip tidak di kasih item warbiasah
"ketika kamu tak terkalahkan maka kamu akan di buat macet, seolah tidak ada signal, ini bukan lagi tentang hoki, tapi kecurangan,!! 3thn sudah saya memainkan mc, dan sekarang saya sudah muak sadar sudah banyak waktu yg yerbuang, uninstal adalah jalan keluarnya, semoga waktu kita bisa di manfaatkan dengan lebih bijak, bukan main mcgg",ketika kamu tak terkalahkan maka kamu akan di buat macet seolah tidak ada signal ini bukan lagi tentang beruntung tapi kecurangan tahun sudah saya memainkan mc dan sekarang saya sudah muak sadar sudah banyak waktu yang yerbuang uninstal adalah jalan keluarnya semoga waktu kita bisa di manfaatkan dengan lebih bijak bukan main mcgg
apaan dah tiba tiba koneksi ilang udah dikit lagi tuh full biji astro 10 gara gara koneksi jadi gagal malas main mending hapus,apaan deh tiba tiba koneksi hilang sudah dikit lagi tuh full biji astro gara gara koneksi jadi gagal malas main mending hapus
"game apalah mau pindahin build nya gk bisa terus pas lagi enak"" nya maen malah login ulang sendiri terus gk bisa balik ke game nya",game apalah mau pindahin build nya tidak bisa terus saat lagi enak nya main malah login ulang sendiri terus tidak bisa balik ke game nya
"cuma kurang suka cara bintang 3 comender gak kaya dulu,dulu sering sering make comender supaya up LV sekarang harus beli comender sampe 9 baru bisa b 3",cuma kurang suka cara bintang comender tidak seperti duludulu sering sering memakai comender supaya up lv sekarang harus beli comender sampai baru bisa bintang
"gamenya bagus, tetapi turnamennya scam",gamenya bagus tetapi turnamennya scam
seru banget cuy,seru sekali cuy
collab sama squid game entar aku top up 100.000 diamond,collab sama squid game entar saya top up diamond
setelah di oerbaiki jadi suka,setelah di oerbaiki jadi suka
enakan magic cheas yg dimlbb daripada sekarang semakin lama semakin aneh nggk logis lagi jangan download game ini dah gue pensi main mcgg,enakan magic cheas yang dimlbb daripada sekarang semakin lama semakin aneh enggak logis lagi jangan download game ini deh gue pensi main mcgg
Udah Mantap . tapi tolong perbaiki Jaringanku yang ada di pelosok desa . terima kasih,sudah mantap tapi tolong perbaiki jaringanku yang ada di pelosok desa terima kasih
peyimpanan nya besar sekali,peyimpanan nya besar sekali
"gamenya sih ok, tapi kadang sulit utk dapat hero",gamenya sih ok tapi kadang sulit untuk dapat hero
bagus karakter nya chibi,bagus karakter nya chibi
"ngelag, ngeframe",lag ngeframe
game nya si bagus tapi tolong muntun clone nya Amon di banyakin lagi 6 gakpapa dan ngebag apa gimana saat toko dikunci di ronde barikut nya hilang /keriset sendiri dan GK adil musuh dapat GGcart yang bagus aku dapat GGcart busuk,game nya sih bagus tapi tolong muntun clone nya amon di membanyaki lagi enggak apa-apa dan ngebag apa bagaimana saat toko dikunci di ronde barikut nya hilang keriset sendiri dan tidak adil musuh dapat ggcart yang bagus saya dapat ggcart busuk
"GAME RUSAK, GA DIKASIH HERO YANG PAS, DIKASIH HERO YANG 1 GOLD TERUS PADAHAL UDAH LEVEL UP COMMANDER SAAT DI PERMAINAN",game rusak tidak dikasih hero yang saat dikasih hero yang gold terus padahal sudah level up commander saat di permainan
ANTI EMOSIONAL DARI PADA GAME MOBA ASLINYA + BIKIN RILEKS,anti emosional dari pada game moba aslinya membuat rileks
salah blesing terus game ampas ini bukan game santai,salah blesing terus game ampas ini bukan game santai
kalah terus kalo maen dpt karakter yang butuh susah bngt awas aja kyk gitu lagi lu tunggu aja moonton,kalah terus kalau main dapat karakter yang butuh susah sekali awas saja seperti begitu lagi lu tunggu saja moonton
"game sampah,beda id beda tingkat kehokian",game sampahbeda id beda tingkat kehokian
balikin commander mode magic crystal rune seperti dulu😡😡😡,balikin commander mode magic crystal rune seperti dulu
"ga mlbb, ga mcgg dua duanya judi bintang😂😂 (let's go gambling!!!)",tidak mlbb tidak mcgg dua duanya judi bintang lets go gambling
terkadang ada pemain yang sangat hoky. gampang dpt *3 padahal hero mahal. ga pernah dpt full hero..,terkadang ada pemain yang sangat hoky gampang dapat padahal hero mahal tidak pernah dapat full hero
"gamenya hari saya uninstall dikarenakan eror..pas pemilihan equipment malah ga nongol equipment, sudah relog beberapa kali tetap aja ada bug tersebut",gamenya hari saya uninstall dikarenakan erorpas pemilihan equipment malah tidak nongol equipment sudah relog beberapa kali tetap saja ada bug tersebut
"game nya ga bisa di buat dengan fitur mode game di hp,jadi hp mudah panas baru main 3 x pertandingan",game nya tidak bisa di buat dengan fitur mode game di hpjadi ponsel mudah panas baru main kali pertandingan
yuzhong nya hero 5ampas ngebug gakmau ulti,yuzhong nya hero ampas bug gakmau ulti
Saya senang sekali dengan permainan ini,saya senang sekali dengan permainan ini
gaskan mantap,gaskan mantap
saya sukai permainan yg Seru Menarik,saya sukai permainan yang seru menarik
game scam apalahhhh,game scam apalahhhh
"WOI DARIPADA LU BIKIN GAME² LAIN BISA AJA TUH MOBILE LEGEND LEBIH POPULER KARNA LU BIARIN SISTEM² JOKI ATAU BELI AKUN,DAN JUGA KASIH LAH HUKUMAN BUAT ORANG YANG DAPET KAYU TUH CUMA PAJANGAN DOANG,SKIN DIPERBAGUS KALO GAMEPLAY BIADAB YAA PERCUMA",woi daripada lu membuat game² lain bisa saja tuh mobile legend lebih populer karena lu biarin sistem² joki atau beli akundan juga kasih lah hukuman buat orang yang dapat kayu tuh cuma pajangan doangskin diperbagus kalau gameplay biadab ya percuma
"kaga usah pake grapik sklian , udah grapik rendah tapi ttep frame ruang masih banyak kurangin tu efekmya",kagak usah menggunakan grapik sklian sudah grapik rendah tapi tetap frame ruang masih banyak kurangi itu efekmya
Tolong tambahkan mode practice,tolong tambahkan mode practice
bauk roll nye malas,bauk roll nye malas
hmm game penghilang cocok yang udah stress sama ml,hmm game penghilang cocok yang sudah stres sama ml
Yg kasih Bintang 1 cmn benci aja,yang kasih bintang cuman benci saja
wah mantap ini ... tingkat terus pokonya beri kenyamanan pada customer hehehe,wah mantap ini tingkat terus pokoknya beri kenyamanan pada customer hehehe
blessingnya ngawur,blessingnya ngawur
Devloper Magic Ches Nya Seruan Yang lama tolong Pindahin ke ml nya. di Mohon PERUBAHAN nya 🙏,devloper magic ches nya seruan yang lama tolong pindahin ke ml nya di mohon perubahan nya
game gak balance semua permainan player berburu hero 4gold dan 5gold bintang 3,game tidak balance semua permainan player berburu hero gold dan gold bintang
game gak ada keadilan sama sekali baru menang 2star udh dikasih kalah 6star karena gak dikasih hero,game tidak ada keadilan sama sekali baru menang star sudah dikasih kalah star karena tidak dikasih hero
menarit dan seruh. susa untuk menang,menarit dan seruh susa untuk menang
PERCAYALAH DI APLIKASINYA TIDAK BISA DIKASIH BINTANG,percayalah di aplikasinya tidak bisa dikasih bintang
matap gass,matap gass
gak berguna,tidak berguna
game drak sistem bikin kecanduan padahal lose win lose win kek judol lawak,game drak sistem membuat kecanduan padahal lose win lose win seperti judol lawak
game seru kadang bikin stres karna gogocard,game seru kadang membuat stres karena gogocard
"ehh moonton ml mah sudh bgus tapi mohon ni mohon bngt ,yang namanya drakk sistem tu di ilangin. anjy",eh moonton ml mah sudah bagus tapi mohon nih mohon sekali yang namanya drakk sistem itu di ilangin anjy
"10% strategi, 90% keberuntungan. dari segi grafik, skin dan karakter ok. tapi sayang systemnya tidak bisa sepenuhnya menggunakan strategi. yg ada hanya beradu keberuntungan. strategi no. kesekian. bagus MC di jaman mobile legend..",strategi keberuntungan dari segi grafik skin dan karakter ok tapi sayang systemnya tidak bisa sepenuhnya menggunakan strategi yang ada hanya beradu keberuntungan strategi nomor kesekian bagus mc di jaman mobile legend
PERBAIKI EROR JARINGAN NYA DEVELOPER KONYLTOOOLLL,perbaiki eror koneksi nya developer konyltooolll
kok gw ngk bisa login sih ad yg sama ngkk,kok saya tidak bisa login sih ada yang sama ngkk
saran gw mending bikin mc yg dulu,saran saya mending membuat mc yang dulu
game aneh Banget Udah tau Kalau lawan Yang Udah menang terus kalah tapi malah dikasih yang udah menang terus yah otomatis kalah lah,game aneh sekali sudah tahu kalau lawan yang sudah menang terus kalah tapi malah dikasih yang sudah menang terus ya otomatis kalah lah
good mantul yes,good mantap yes
player diprank mulu sama moonton,player diprank mulu sama moonton
game gajelas lunox B3 kalah lawan vexana teriz kaja B2,game enggak jelas lunox bintang kalah lawan vexana teriz kaja bintang
"tolong untuk ban comandernya bisa di revisi, berdasarkan voting. jadi yg terbanyak pertama dan kedua yg di ban bukan malah di acak jadi percuma kita milih kalau ujung2nya ngacak cara pilih ban comandernya trimss",tolong untuk ban comandernya bisa di revisi berdasarkan voting jadi yang terbanyak pertama dan kedua yang di ban bukan malah di acak jadi percuma kita memilih kalau ujungnya ngacak cara pilih ban comandernya trimss
game busukkkk,game busukkkk
jangan download nanti kalian ketagihan xixix,jangan download nanti kalian ketagihan xixix
Keseimbangan yang sangat buruk,keseimbangan yang sangat buruk
"game nya makin jelek, apknya nguras batere, mengecewakan",game nya makin jelek apknya nguras batere mengecewakan
game bikin stresss,game membuat stresss
Asyikkkk,asyikkkk
Joss banggeeetttttttttt,joss banggeeetttttttttt
